Symbol
ATVI
AET
ALXN
AGN
ADS
ABC
APC
ANDV
ANTM
ARNC
BHGE
BLL
BBT
BRK.B
BF.B
COG
CBG
CBS
CELG
CTL
CERN
CHK
XEC
CTXS
CXO
CSRA
DISCA
DISCK
DISH
DWDP
DPS
DRE
ETFC
EVHC
RE
ESRX
FB
FLIR
FBHS
GPS
GGP
HRS
JEC
KSU
LLL
LUK
KORS
MON
MYL
NFX
NLSN
NBL
PBCT
PKI
PXD
PCLN
RTN
RHT
COL
SCG
SNI
SYMC
TIF
TWX
TMK
TSS
UTX
VAR
VIAB
HCN
WRK
WLTW
WYN
XLNX
XL
