Symbol,Date,Total_Revenue,Gross_Profit,Operating_Income,Net_Income,EPS,Cost_of_Revenue,R&D_Expenses,SG&A_Expenses,Tax_Provision,Operating_Expenses,Market_Price,Industry,Discount_Rate
RRC,2022-12-31,0.008231913596914175,0.05563125768324029,0.21252810092752714,0.19534904782885396,,,,,0.22829363938197691,,,2,12.0
RRC,2021-12-31,0.005524303182256509,0.04696337056766839,0.20190878006602736,0.18905352393074523,,,,,0.22201398656244278,,,2,12.0
RRC,2020-12-31,0.002747905110896818,0.03854894124283562,0.19159072865901589,0.17988628612457366,,,,,0.22160069017803455,,,2,12.0
RJF,2024-09-30,0.019500867888138863,0.09450627025417868,0.2208951686832046,0.20256686411775263,,,,,0.2373009855951478,,,3,11.0
RJF,2023-09-30,0.017694117647058822,0.09450627025417868,0.2208951686832046,0.1998825084447055,,,,,0.2364121199445766,,,3,11.0
RJF,2022-09-30,0.016742140790742526,0.09450627025417868,0.2208951686832046,0.19800590721430783,,,,,0.23568011293822383,,,3,11.0
RJF,2021-09-30,0.01485824493731919,0.09450627025417868,0.2208951686832046,0.19714103882116804,,,,,0.23241222451700608,,,3,11.0
O,2023-12-31,0.00629352825458052,0.05847526728363197,0.20417594193785044,0.19281105889264208,,,,,0.22362868944602754,,,8,9.5
O,2022-12-31,0.0051590063645130186,0.055044468333076114,0.20146532908871773,0.1927873892397317,,,,,0.22344992287783325,,,8,9.5
O,2021-12-31,0.0032099718418514946,0.0488154266160748,0.1991303974741917,0.18862662162823712,,,,,0.2230963112075501,,,8,9.5
O,2020-12-31,0.0025413107039537128,0.04666345944047384,0.19808357569564536,0.1889205952905468,,,,,0.2226528195341298,,,8,9.5
REG,2023-12-31,0.002040448987463838,0.04339173216823036,0.19596073730545513,0.18866824137987304,,,,,0.24273910058299436,,,8,9.5
REG,2022-12-31,0.0018885585342333655,0.04312767882326019,0.1959880063407221,0.18963353241624645,,,,,0.24273910058299436,,,8,9.5
REG,2021-12-31,0.0017992840887174541,0.04292226024298996,0.1958561219409946,0.1886425727386955,,,,,0.24273910058299436,,,8,9.5
REG,2020-12-31,0.0015678688524590164,0.04219647808247609,0.19465987397159776,0.18606002676196534,,,,,0.24273910058299436,,,8,9.5
REGN,2023-12-31,0.020238688524590164,0.09859772549478737,0.22062306765183673,0.21795173055269984,,,,,0.22869206033829179,,,4,8.0
REGN,2022-12-31,0.018781716489874638,0.09493158922670016,0.22560656081328934,0.221091366002513,,,,,0.2358735719327599,,,4,8.0
REGN,2021-12-31,0.02479722275795564,0.11101224528894305,0.25181313210711104,0.25158124051500463,,,,,0.2549606546234085,,,4,8.0
REGN,2020-12-31,0.013110279652844744,0.07771421273063026,0.21632211916365351,0.2143584471532775,,,,,0.2300384303678335,,,4,8.0
RF,2023-12-31,0.011686017357762778,0.09450627025417868,0.2208951686832046,0.20261581893245867,,,,,0.23620297508561866,,,3,11.0
RF,2022-12-31,0.011053423336547734,0.09450627025417868,0.2208951686832046,0.2040110311515804,,,,,0.23876499960785336,,,3,11.0
RF,2021-12-31,0.009930183220829315,0.09450627025417868,0.2208951686832046,0.2062629526280576,,,,,0.24041201537214713,,,3,11.0
RF,2020-12-31,0.009681774349083896,0.09450627025417868,0.2208951686832046,0.1946198658638077,,,,,0.22802018247888942,,,3,11.0
RSG,2023-12-31,0.02308891031822565,0.07050380769414982,0.21154823665042186,0.19981723535843082,,,,,0.23429714255836448,,,5,10.0
RSG,2022-12-31,0.02084675024108004,0.06669345268188326,0.2091901168579364,0.197831301708523,,,,,0.23125931348200046,,,5,10.0
RSG,2021-12-31,0.017427193828351013,0.06270748074866025,0.20660601058533773,0.19622232013185162,,,,,0.2296619696217092,,,5,10.0
RSG,2020-12-31,0.015666113789778207,0.06002426706544125,0.2049553267305979,0.19358528744635367,,,,,0.22679407074324853,,,5,10.0
RMD,2024-06-30,0.00722900212150434,0.05258557599689211,0.2019606521511293,0.1940238491538976,,,,,0.22864361716033565,,,4,8.0
RMD,2023-06-30,0.006515707618129219,0.050990969032882937,0.20044016271026568,0.19301705259378923,,,,,0.22760471621656947,,,4,8.0
RMD,2022-06-30,0.005520735969141755,0.04922761017300927,0.1994586149976419,0.19205330363407905,,,,,0.2270018038744085,,,4,8.0
RMD,2021-06-30,0.004932420443587271,0.048241968186728684,0.19887040166640466,0.1895653220410894,,,,,0.2329653342396277,,,4,8.0
